variable_name,label,description_and_notes,simple_datatype,xml_datatype,limited_to_domains,limited_to_classes,codelist_reference,external_dictionary,role,qualifying_variables,sources,used_in_domains
CNTRY,Country,The country in which the event or activity occurred.,Char,string,,Events Interventions,,ISO 3166-1 Alpha-3,Non-Standard Variable Qualifier,TERM; TRT,TAUG-COVID-19 v2.0,ER (Environmental and Social Factors)
CTRYSD,Country Sub-Division,The administrative divisions and/or dependent territories of a country in which the event or activity occurred.,Char,string,,Events Interventions,,ISO 3166-2,Non-Standard Variable Qualifier,TERM; TRT,TAUG-COVID-19 v2.0,ER (Environmental and Social Factors)
DCLANG,Data Collection Language,The language in which the data collection was conducted.,Char,string,,,,,Non-Standard Record Qualifier,,QRS: PRO-CTCAE v1.0,
EVOTH,Description of Other Event,"Description of the other event, different from the one(s) previously specified or mentioned.",Char,string,,Events,,,Non-Standard Variable Qualifier,TERM,TAUG-Rare Diseases v1.0,CE (Clinical Events)
DNAMVR,Dictionary Name and Version,The name and version of the dictionary used for coding of information on the record.,Char,string,,,,,Non-Standard Record Qualifier,,TAUG-T1D-Exercise&Nutrition v1.0,ML (Meal Data)
DCGDSP,Discharge Disposition,"The physical location of the subject (or status of the subject i.e., the subject has expired) at discharge from a healthcare facility.",Char,string,,,"(<a href=""http://evs.nci.nih.gov/ftp1/CDISC/SDTM/SDTM%20Terminology.html#CL.C101863.DISCHDX"" target=""_blank"">DISCHDX</a>)",,Non-Standard Record Qualifier,,TAUG-COVID-19 v2.0,HO (Healthcare Encounters)
DZCTRL,"Disease, Symptom or Event Under Control","An indication as to whether the disease, symptom, or other event is under control or stable at the time of data collection.",Char,string,,Events,"(<a href=""http://evs.nci.nih.gov/ftp1/CDISC/SDTM/SDTM%20Terminology.html#CL.C66742.NY"" target=""_blank"">NY</a>)",,Non-Standard Variable Qualifier,--TERM,CDASHIG vX.Y,
DZCTRL,"Disease, Symptom or Event Under Control","An indication as to whether the disease, symptom, or other event is under control or stable at the time of data collection.",Char,string,,Events,"(<a href=""http://evs.nci.nih.gov/ftp1/CDISC/SDTM/SDTM%20Terminology.html#CL.C66742.NY"" target=""_blank"">NY</a>)",,Non-Standard Variable Qualifier,--TERM,CDASHIG  v2.2,
DURADJ,Duration Adjustment Reason,The explanation for why the duration of a single administration or session was changed.,Char,string,,,,,Non-Standard Record Qualifier,,TAUG-TCM-Acupuncture v1.0,DX (Device Exposure)
SETTNG,Environmental Setting,"The environment/setting where the event, intervention, or finding occurred.",Char,string,,,"(<a href=""http://evs.nci.nih.gov/ftp1/CDISC/SDTM/SDTM%20Terminology.html#CL.C127262.SETTING"" target=""_blank"">SETTING</a>)",,Non-Standard Record Qualifier,,TAUG-T1D-Exercise&Nutrition v1.0,FA (Findings About Events or Interventions) ML (Meal Data) PR (Procedures) VS (Vital Signs)
