TOPIC_CD,adam_param_code,activity,activity_instance,legacy_description,sub_domain_class,molecular_weight,Assm. group,Assm. subgroup
ALBUMIN IN URINE,ALBU2,Renal Event,Urinary Albumin Excretion,"Urine albumin excretion.
Code: C64431
CDISC: A measurement of the albumin protein in a biological specimen.
CDISC Synonym(s): Albumin
CDISC Submission Value: ALB
NCI Preferred Term: ALB",TEXTUAL FINDINGS,,AE Requiring Additional Data,Laboratory Assessment
ALBUMIN_CREATINE_RATIO,ALBCRAT,Albumin/Creatinine,Albumin/Creatinine,"CDISC: C74761
A relative measurement (ratio) of the albumin to the creatinine in a biological specimen.",NUMERIC FINDINGS,,AE Requiring Additional Data,Laboratory Assessment
ALBUMIN_CREAT_URINE,ALBCRTU,Albumin/Creatinine,Albumin/Creatinine Ratio,"Albumin/creatinine ratio in urine
CDISC code: C74761
CDISC submission value: ALBCREAT
CDISC synonym(s): Albumin/Creatinine; Microalbumin/Creatinine Ratio
CDISC Description: A relative measurement (ratio or percentage) of the albumin to the creatinine in a biological specimen.
NCI preferred term: Albumin To Creatinine Protein Ratio Measurement

Convert values collected  in mg/g to values in mg/mmol by dividing with 8,84",NUMERIC FINDINGS,,Laboratory Assessments,Urinalysis
ALBUMIN_N_URINE,ALBU,Albumin,Albumin Urine,"Molecular Weight (MW): Confirmed by CHHE, Maaloev, 06-06-2013
Albumin in urine
Code: C64431
CDISC: A measurement of the albumin protein in a biological specimen.
CDISC Synonym(s): Albumin
CDISC Submission Value: ALB
NCI Preferred Term: ALB",NUMERIC FINDINGS,67000.0,Laboratory Assessments,Urinalysis
ALBUMIN_SERUM,ALBS,Albumin,"Albumin, g/dL","Albumin in serum
CDISC code: C64431
CDISC submission value: ALB
CDISC synonym(s): Albumin; Microalbumin
CDISC Description: A measurement of the albumin protein in a biological specimen.
NCI preferred term: Albumin Measurement",NUMERIC FINDINGS,67000.0,Laboratory Assessments,Biochemistry
ALP,ALP,Alkaline Phosphatase,"Alkaline Phosphatase, AE Requiring Additional Data","A measurement of the alkaline phosphatase in a biological specimen.
NCI preferred term: Alkaline Phosphatase Measurement",NUMERIC FINDINGS,,AE Requiring Additional Data,Laboratory Assessment
ALT,ALT,Alanine Aminotransferase,"Alanine Aminotransferase, AE Requiring Additional Data","A measurement of the alanine aminotransferase in a biological specimen.
NCI preferred term: Alanine Aminotransferase Measurement",NUMERIC FINDINGS,,AE Requiring Additional Data,Laboratory Assessment
ALT_SERUM,ALTS,Alanine Aminotransferase,"Alanine Aminotransferase, Biochemistry","Alanine Aminotransferase in Serum
CDISC code: C64433
CDISC submission value: ALT
CDISC synonym(s): Alanine Aminotransferase; SGPT
CDISC Description: A measurement of the alanine aminotransferase in a biological specimen.
NCI preferred term: Alanine Aminotransferase Measurement",NUMERIC FINDINGS,,Laboratory Assessments,Biochemistry
AMMONIA,AMMONIA,Ammonia,Ammonia,A measurement of the ammonia; NH3,NUMERIC FINDINGS,17.031,AE Requiring Additional Data,Laboratory Assessment
AMYLASE,AMYLASE,Amylase,"Amylase, AE Requiring Additional Data","CDISC code: C64434
CDISC submission value: AMYLASE
CDISC synonym(s): Amylase
CDISC definition: A measurement of the total enzyme amylase in a biological specimen.
NCI preferred term: Amylase Measurement",NUMERIC FINDINGS,,AE Requiring Additional Data,Laboratory Assessment
AMYLASE_SERUM,AMYLAES,Amylase,"Amylase, Biochemistry","Amylase in serum
CDISC code: C64434
CDISC submission value: AMYLASE
CDISC synonym(s): Amylase
CDISC Description: A measurement of the total enzyme amylase in a biological specimen.
NCI preferred term: Amylase Measurement",NUMERIC FINDINGS,,Laboratory Assessments,Biochemistry
AP_SERUM,ALPS,Alkaline Phosphatase,"Alkaline Phosphatase, Biochemistry","Alkaline phosphatase in serum
CDISC code: C64432
CDISC submission value: ALP
CDISC synonym(s): Alkaline Phosphatase
CDISC Description: A measurement of the alkaline phosphatase in a biological specimen.
NCI preferred term: Alkaline Phosphatase Measurement",NUMERIC FINDINGS,,Laboratory Assessments,Biochemistry
AST,AST,Aspartate Aminotransferase,"Aspartate Aminotransferase, AE Requiring Additional Data","A measurement of the aspartate aminotransferase in a biological specimen.
NCI preferred term: Aspartate Aminotransferase Measurement",NUMERIC FINDINGS,,AE Requiring Additional Data,Laboratory Assessment
AST_SERUM,ASTS,Aspartate Aminotransferase,"Aspartate Aminotransferase, Biochemistry","CDISC code: C64467
CDISC submission value: AST/Aspartate Aminotransferase
CDISC synonym(s): Aspartate Aminotransferase; SGOT
CDISC definition: A measurement of the aspartate aminotransferase in a biological specimen.
NCI preferred term: Aspartate Aminotransferase Measurement",NUMERIC FINDINGS,,Laboratory Assessments,Biochemistry
BG_SUPER_GL_ANALYZER,BGSUPGLA,Glucose,BG Super GL Analyzer,A measurement of the glucose in blood.,NUMERIC FINDINGS,180.2,Laboratory Assessments,Glucose Metabolism
BILDIR,BILDIR,Direct Bilirubin,"Direct Bilirubin, AE Requiring Additional Data","CDISC code: C64481
CDISC submission value: BILDIR 
CDISC synonym(s): Direct Bilirubin 
CDISC definition: A measurement of the conjugated or water-soluble bilirubin in a biological specimen.
NCI preferred term: Direct Bilirubin Measurement",NUMERIC FINDINGS,584.66,AE Requiring Additional Data,Laboratory Assessment
BILI,BILI,Bilirubin,"Bilirubin, AE Requiring Additional Data","A measurement of the total bilirubin in a biological specimen.
NCI preferred term: Total Bilirubin Measurement",NUMERIC FINDINGS,584.66,AE Requiring Additional Data,Laboratory Assessment
BILIND,BILIND,Indirect Bilirubin,"Indirect Bilirubin, AE Requiring Additional Data","CDISC code: C64483
CDISC submission value: BILIND
CDISC synonym(s): Indirect Bilirubin 
CDISC definition: A measurement of the unconjugated or non-water-soluble bilirubin in a biological specimen.
NCI preferred term: Indirect Bilirubin Measurement",NUMERIC FINDINGS,584.66,AE Requiring Additional Data,Laboratory Assessment
BILIRUBIN_SERUM,BILIS3,Bilirubin,"Bilirubin, Biochemistry","CDISC code: C38037
CDISC submission value: BILI
CDISC synonym(s): Bilirubin; Total Bilirubin
CDISC Description: A measurement of the total bilirubin in a biological specimen.
NCI preferred term: Total Bilirubin Measurement",NUMERIC FINDINGS,584.66,Laboratory Assessments,Biochemistry
BILIRUBIN_URINE,BILIU2,Bilirubin,Bilirubin Urine,"CDISC:A measurement of the total bilirubin in a biological specimen.
CDISC synonym: Bilirubin
CDISC preferred term: BILI
CDISC code: C38037",CATEGORIC FINDINGS,,Laboratory Assessments,Urinalysis
BLOOD_SAMPLES_COLLECTED,BLOODCLB,Have all blood samples been taken,Have All Blood Samples Been Taken,"<CodeLists>
<CodeList Value=""LBTEST"" CodeSubmValue=""Have all samples been taken"" SpecimenType=""BLOOD""></CodeList>
<CodeList Value=""LBTESTCD"" CodeSubmValue=""LBALL""></CodeList>
</CodeLists>
Have all blood samples been taken?",CATEGORIC FINDINGS,,Laboratory Assessments,Collection of Samples
BLOOD_UREA_NITROGEN,UREANB,Urea Nitrogen,Urea Nitrogen,"CDISC: C125949
A measurement of the urea nitrogen in a biological specimen.

For Lab codes in AE Requiring Additional Data, there should be no SCATS",NUMERIC FINDINGS,28.0,AE Requiring Additional Data,Laboratory Assessment
BODY_TEMPERATURE,TEMP,Temperature,Body Temperature,"CDISC code: C25206
CDISC Submission Value: TEMP
CDISC: The property of a body or region of space that determines whether or not there will be a net flow of heat into it or out of it from a neighboring body or region and in which direction (if any) the heat will flow, perceptible by living organism as a somatic sensation of cold or heat. It is a measure of the average translational kinetic energy associated with the disordered microscopic motion of atoms and molecules. Temperature is measured in one of the three standard temperature scales: Celsius, Kelvin, and Fahrenheit. (NCI)",NUMERIC FINDINGS,,Vital Signs,Vital Signs
BODY_WEIGHT,WEIGHT,Weight,Body Weight,"CDISC code: C25208
CDISC submission value: WEIGHT
CDISC synonym(s): Weight
CDISC Description: The vertical force exerted by a mass as a result of gravity. (NCI)
NCI preferred term: Weight",NUMERIC FINDINGS,,Body Measurements,Body Measurements
BP_DIASTOLIC,DIABP,Diastolic Blood Pressure,Diastolic Blood Pressure,"CDISC code: C25299
CDISC submission value: DIABP
CDISC synonym(s): Diastolic Blood Pressure
CDISC Description: The blood pressure after the contraction of the heart while the chambers of the heart refill with blood. (NCI)
NCI preferred term: Diastolic Blood Pressure",NUMERIC FINDINGS,,Vital Signs,Vital Signs
BP_SYSTOLIC,SYSBP,Systolic Blood Pressure,Systolic Blood Pressure,"CDISC code: C25298
CDISC submission value: SYSBP
CDISC synonym(s): Systolic Blood Pressure
CDISC Description: The blood pressure during the contraction of the left ventricle of the heart.
NCI preferred term: Systolic Blood Pressure",NUMERIC FINDINGS,,Vital Signs,Vital Signs
CAUSE OF DEATH,CAUSEDEA,Cause of Death,Cause of Death,Sponsor defined: Used for Event Adjudication,CATEGORIC FINDINGS,,Event Adjudication,Death
CGM_SENSOR_VALUE,GLUC02,Glucose,CGM - Sensor Value,"Continous Glucose Monitoring - Sensor value
CDISC Submission value: GLUC
CDISC synonym: Glucose
CDISC code: C105585
CDISC definition: A measurement of the glucose in a biological specimen.",NUMERIC FINDINGS,180.2,Device,CGM
CHARACTERISTIC_IMAGING_FINDINGS,IMAGFIND,Imaging Findings Characteristic of Pancreatitis,Imaging Findings Characteristic of Pancreatitis,Imaging findings characteristic of pancreatitis,CATEGORIC FINDINGS,,Event Adjudication,Acute Pancreatitis
CHILDBEARING_POTENTIAL,CHILDPOT,Childbearing Potential,Is the Subject of Childbearing Potential,"SDTM Terminology 2017-06-30
Code:C106508
CDISC Code Value: CHILDPOT
CDISC Value Label: Childbearing Potential
CDISC synonym(s): Childbearing Potential
CDISC definition: An indicator as to whether the female subject has the potential to become pregnant. (NCI)
NCI preferred term: Childbearing Potential",CATEGORIC FINDINGS,,Childbearing Potential,Childbearing Potential
CLASSIFICATION OF MYOCARDIAL INFARCTION,CLASSMYF,Classification of Myocardial Infarction,Classification of Myocardial Infarction,Sponsor defined: Used for Event Adjudication,CATEGORIC FINDINGS,,Event Adjudication,Acute Coronary Syndrome
CREATININE_CLEARANCE,CREATCLR,Creatinine Clearance,Creatinine Clearance,"CDISC: C25747
A measurement of the volume of serum or plasma that would be cleared of creatinine by excretion of urine for a specified unit of time (e.g. one minute).",NUMERIC FINDINGS,,AE Requiring Additional Data,Laboratory Assessment
CREATININE_SERUM,CREATS,Creatinine,"Creatinine, Biochemistry","Creatinine in serum
CDISC code: C64547
CDISC submission value: CREAT
CDISC synonym(s): Creatinine
CDISC Description: A measurement of the creatinine in a biological specimen.
NCI preferred term: Creatinine Measurement",NUMERIC FINDINGS,113.118,Laboratory Assessments,Biochemistry
CRP,CRP,C Reactive Protein,C-Reactive Protein,"A measurement of the C reactive protein in a biological specimen.
NCI preferred term: C-Reactive Protein Measurement",NUMERIC FINDINGS,105000.0,AE Requiring Additional Data,Laboratory Assessment
CRP_HS_SERUM,CRPS,C Reactive Protein,High Sensitive C-Reactive Protein,"CDISC code: C64548
CDISC submission value: CRP
CDISC synonym(s): C Reactive Protein
CDISC Description: A measurement of the C reactive protein in a biological specimen.
NCI preferred term: C-Reactive Protein Measurement",NUMERIC FINDINGS,105000.0,Laboratory Assessments,Biochemistry
CYSTATIN_C,CYSTATC,Cystatin C,Cystatin C,A measurement of the cystatin C in a biological specimen.,NUMERIC FINDINGS,13343.0,AE Requiring Additional Data,Laboratory Assessment
C_PEPTIDE_SERUM,CPEPTES,C-Peptide,C-Peptide,"CDISC code: C74736
CDISC submission value: CPEPTIDE
CDISC synonym(s): C-peptide
CDISC Description: A measurement of the C (connecting) peptide of insulin in a biological specimen.
NCI preferred term: C-peptide Measurement
<molecularweight checked_with_Maaloev=""Y"" molecular_formula=C129H211N35O48></molecularweight>",NUMERIC FINDINGS,3020.0,Laboratory Assessments,Glucose Metabolism
C_REACT_PROT_PLASMA,CRPP,C Reactive Protein,C-Reactive Protein Plasma,"CDISC: A measurement of the C reactive protein in a biological specimen.
CDIS synonym: C Reactive Protein
CDISC submission value: CRP
CDISC: preferred term: CRP 
Code: C64548",NUMERIC FINDINGS,,Laboratory Assessments,Biochemistry
DATE_OF_BIRTH,BRTHDTC,Date of Birth,Date of Birth,"Date of birth of the subject.
variable name: BRTHDTC in subj. demographics domain",DISPOSITION,,Informed Consent and Demography,Informed Consent and Demography
DATE_OF_BIRTH,BRTHDTC,Date of Birth,Date of Birth,"Date of birth of the subject.
variable name: BRTHDTC in subj. demographics domain",DISPOSITION,,Demography,Demography
DEATH_LOCATION,DEATHLOC,Location of Death Occurrence,Location of Death Occurrence,"Location of death occurrence:
Home
Hospital
Other
Unknown",CATEGORIC FINDINGS,,Event Adjudication,Death
EGFR_CKD_EPI_SERUM,GFRES2,"Glomerular Filtration Rate, Estimated",eGFR Using CKD-EPI Formula,"This code can both be used as derived and as non-derived. Please, see definition for both below:
The CKD-EPI equation, is (x indicates multiplication):
GFR = 141 x min(Scr/kappa,1)alpha x max(Scr/kappa, 1) -1.209 x 0.993 Age x 1.018 [if female] X 1.159 [if Black or Afro-American], where Scr is serum creatinine (mg/dL), kappa is 0.7 for females and 0.9 for males, alpha is -0.329 for females and -0.411 for males, min indicates the minimum of Scr/kappa or 1, and max indicates the maximum of Scr/kappa or 1.

Code:C110935
CDISC Code Value: GFRE
CDISC Value Label: Glomerular Filtration Rate, Estimated
CDISC synonym(s): Glomerular Filtration Rate, Estimated
CDISC definition:  A kidney function test that estimates the fluid volume that is filtered from the kidney glomeruli to the Bowman's capsule per unit of time.
NCI preferred term: Estimated Glomerular Filtration Rate",NUMERIC FINDINGS,,Laboratory Assessments,Biochemistry
ELEVATED_BLOOD_LEVELS_OF_PANCREATIC_ENZYMES,LEVELENZ,"Elevated Blood Levels of Pancreatic Enzymes (Lipase, Amylase) >=3xUNL","Elevated Blood Levels of Pancreatic Enzymes (Lipase, Amylase) >=3xUNL","Elevated blood levels of pancreatic enzymes (lipase, amylase) >/= 3xUNL",CATEGORIC FINDINGS,,Event Adjudication,Acute Pancreatitis
