TOPIC_CD,adam_param_code,activity,activity_instance,legacy_description,sub_domain_class,molecular_weight,Assm. group,Assm. subgroup
RACE,RACE,Race,Race,"CDISC: Race of the subject. In cases of mixed race, primary race should be listed. If additional race values are collected, they should be represented as separate records in the Subject Characteristics domain with TESTCD of ""RACEOTH"". The variable itself is required by FDA, but with ongoing discussions in Europe about the permissibility of collecting this data, the variable may be optional in future.",CATEGORIC FINDINGS,,Informed Consent and Demography,Informed Consent and Demography
RACE,RACE,Race,Race,"CDISC: Race of the subject. In cases of mixed race, primary race should be listed. If additional race values are collected, they should be represented as separate records in the Subject Characteristics domain with TESTCD of ""RACEOTH"". The variable itself is required by FDA, but with ongoing discussions in Europe about the permissibility of collecting this data, the variable may be optional in future.",CATEGORIC FINDINGS,,Demography,Demography
RANDOMISATION_DATE,RANDDT,Randomized,Randomisation Date,Date of randomisation,DISPOSITION,,Randomisation,Randomisation
RANDOMISATION_DATE,RANDDT,Randomized,Randomisation Date,Date of randomisation,DISPOSITION,,Randomisation Criteria and Randomisation,Randomisation Criteria and Randomisation
RBC,RBCU5,Erythrocytes,"Erythrocytes in Urine, AE Requiring Additional Data","CDISC Code: C51946

A measurement of the total erythrocytes in a biological specimen.

For Lab codes in AE Requiring Additional Data, there should be no SCATS",TEXTUAL FINDINGS,,AE Requiring Additional Data,Laboratory Assessment
RBC_UR,RBCU2,Erythrocytes,"Erythrocytes in Urine, Urinalysis","Sponsordefined: The investigators evaluation of the concentration of cells in urine specialized for oxygen transport, having a high concentration of hemoglobin in the cytoplasm and little else; biconcave, anucleate discs, 7nm diameter in mammals.

CDISC Code: C51946
CDISC Submission Value: RBC
CDISC Synonym(s): Erythrocytes; Red Blood Cells
CDISC Definition: A measurement of the total erythrocytes in a biological specimen.
NCI Preferred Term: Erythrocyte Count",CATEGORIC FINDINGS,,Laboratory Assessments,Urine Dipstick
RBC_UR,RBCU2,Erythrocytes,"Erythrocytes in Urine, Urinalysis","Sponsordefined: The investigators evaluation of the concentration of cells in urine specialized for oxygen transport, having a high concentration of hemoglobin in the cytoplasm and little else; biconcave, anucleate discs, 7nm diameter in mammals.

CDISC Code: C51946
CDISC Submission Value: RBC
CDISC Synonym(s): Erythrocytes; Red Blood Cells
CDISC Definition: A measurement of the total erythrocytes in a biological specimen.
NCI Preferred Term: Erythrocyte Count",CATEGORIC FINDINGS,,Laboratory Assessments,Urinalysis
RBC_UR,RBCU2,Erythrocytes,"Erythrocytes in Urine, Urinalysis","Sponsordefined: The investigators evaluation of the concentration of cells in urine specialized for oxygen transport, having a high concentration of hemoglobin in the cytoplasm and little else; biconcave, anucleate discs, 7nm diameter in mammals.

CDISC Code: C51946
CDISC Submission Value: RBC
CDISC Synonym(s): Erythrocytes; Red Blood Cells
CDISC Definition: A measurement of the total erythrocytes in a biological specimen.
NCI Preferred Term: Erythrocyte Count",CATEGORIC FINDINGS,,Laboratory Assessments,Urinalysis - Urine Dipstick
REASON FOR UNDETERMINED DEATH CAUSE 1,REASDEA1,Reason for Undetermined Death Cause 1,Reason for Undetermined Death Cause 1,Sponsor defined: Used for Event Adjudication,CATEGORIC FINDINGS,,Event Adjudication,Death
RESPIRATORY_RATE,RESP,Respiratory Rate,Respiratory Rate,"CDISC code:C49678
CDISC Submission Value: RESP
CDISC synonym(s): Respiratory Rate
CDISC: The rate of breathing (inhalation and exhalation) measured within in a unit time, usually expressed as breaths per minute. (NCI) 
NCI preferred term: Respiratory Rate",NUMERIC FINDINGS,,Vital Signs,Vital Signs
SEIZURE,HYSEIZUR,Seizure,Seizure,Did the subject have a seizure,CATEGORIC FINDINGS,,Event Adjudication,Hypoglycaemic Episode
SERUM_CREATININE,CREATS3,Creatinine,"Creatinine, AE Requiring Additional Data","CDISC: C64547

The clear portion of the blood that remains after the removal of the blood cells and the clotting proteins. (NCI)

For Lab codes in AE Requiring Additional Data, there should be no SCATS",NUMERIC FINDINGS,113.118,AE Requiring Additional Data,Laboratory Assessment
SEVERE_ACUTE_UPPER_ABDOMINAL_PAIN,ACUTPAIN,Severe Acute Upper Abdominal Pain,Severe Acute Upper Abdominal Pain,Severe Acute Upper Abdominal Pain,CATEGORIC FINDINGS,,Event Adjudication,Acute Pancreatitis
SEVERITY OF PANCREATITIS,SEVPANCR,Severity of Pancreatitis,Severity of Pancreatitis,Sponsor defined: Used for Event Adjudication,CATEGORIC FINDINGS,,Event Adjudication,Acute Pancreatitis
SEX,SEX,Sex,Sex,"CDISC: M, F, U for Male, Female, Unknown",CATEGORIC FINDINGS,,Informed Consent and Demography,Informed Consent and Demography
SEX,SEX,Sex,Sex,"CDISC: M, F, U for Male, Female, Unknown",CATEGORIC FINDINGS,,Demography,Demography
SODIUM,SODIUM,Sodium,"Sodium, AE Requiring Additional Data",Sodium CDISC: C64809,NUMERIC FINDINGS,23.0,AE Requiring Additional Data,Laboratory Assessment
SODIUM_SERUM,SODIUMS,Sodium,"Sodium, Biochemistry","CDISC code: C64809
CDISC submission value: SODIUM
CDISC synonym(s): Sodium
CDISC Description: A measurement of the sodium in a biological specimen.
NCI preferred term: Sodium Measurement",NUMERIC FINDINGS,23.0,Laboratory Assessments,Biochemistry
SOURCE OF ADJUDICATED EVENT,SOURADEV,Source of Adjudicated Event,Source of Adjudicated Event,Sponsor defined: Used for Event Adjudication,CATEGORIC FINDINGS,,Event Adjudication,General
SUBJECT FASTING,YNF,Subject Fasting,Subject Fasting,Subject fasting,CATEGORIC FINDINGS,,Laboratory Assessments,Collection of Samples
SUBJECT_DIED,SUBJDIED,Subject Died,Subject Died,Did the subject die from this severe hypoglycemic episode,CATEGORIC FINDINGS,,Event Adjudication,Hypoglycaemic Episode
SYMPTOM OF PANCREATITIS 1,SYMPANC1,Symptom of Pancreatitis 1,Symptom of Pancreatitis 1,Sponsor defined: Used for Event Adjudication,CATEGORIC FINDINGS,,Event Adjudication,Acute Pancreatitis
SYMPTOM OF PANCREATITIS 2,SYMPANC2,Symptom of Pancreatitis 2,Symptom of Pancreatitis 2,Sponsor defined: Used for Event Adjudication,CATEGORIC FINDINGS,,Event Adjudication,Acute Pancreatitis
SYMPTOM OF PANCREATITIS 3,SYMPANC3,Symptom of Pancreatitis 3,Symptom of Pancreatitis 3,Sponsor defined: Used for Event Adjudication,CATEGORIC FINDINGS,,Event Adjudication,Acute Pancreatitis
SYMPTOM OF UNSTABLE ANGINA PECTORIS 1,SYMUNMI1,Symptom of Unstable Angina Pectoris 1,Symptom of Unstable Angina Pectoris 1,Sponsor defined: Used for Event Adjudication,CATEGORIC FINDINGS,,Event Adjudication,Acute Coronary Syndrome
SYMPTOM OF UNSTABLE ANGINA PECTORIS 2,SYMUNMI2,Symptom of Unstable Angina Pectoris 2,Symptom of Unstable Angina Pectoris 2,Sponsor defined: Used for Event Adjudication,CATEGORIC FINDINGS,,Event Adjudication,Acute Coronary Syndrome
SYMPTOM OF UNSTABLE ANGINA PECTORIS 3,SYMUNMI3,Symptom of Unstable Angina Pectoris 3,Symptom of Unstable Angina Pectoris 3,Sponsor defined: Used for Event Adjudication,CATEGORIC FINDINGS,,Event Adjudication,Acute Coronary Syndrome
SYMPTOM OF UNSTABLE ANGINA PECTORIS 4,SYMUNMI4,Symptom of Unstable Angina Pectoris 4,Symptom of Unstable Angina Pectoris 4,Sponsor defined: Used for Event Adjudication,CATEGORIC FINDINGS,,Event Adjudication,Acute Coronary Syndrome
THROMBOCYTES_BLOOD,PLATB,Platelets,Thrombocytes,"CDISC code: C51951
CDISC submission value: PLAT
CDISC synonym(s): Platelets
CDISC Description: A measurement of the platelets in a biological specimen.
NCI preferred term: Platelet Count",NUMERIC FINDINGS,,Laboratory Assessments,Haematology
TM01_01_PAIN_FREE_WALKING_DISTANCE_ON_FLAT_TREADMILL,TM0101,Treadmill Test,Treadmill - Pain-Free Walking Distance on Flat Treadmill,Treadmill assessments - Pain-free walking distance on flat treadmill,NUMERIC FINDINGS,,Clinical Outcome Assessments,Treadmill Test
TM01_02_PAIN_FREE_WALKING_DISTANCE_ON_INCLINED_TREADMILL,TM0102,Treadmill Test,Treadmill - Pain-Free Walking Distance on Inclined Treadmill,Treadmill assessments - Pain-free walking distance on inclined treadmill,NUMERIC FINDINGS,,Clinical Outcome Assessments,Treadmill Test
TM01_03_MAX_WALKING_DISTANCE_ON_INCLINED_TREADMILL,TM0103,Treadmill Test,Treadmill - Max Walking Distance on Inclined Treadmill,Treadmill assessments - Max. walking distance on inclined treadmill,NUMERIC FINDINGS,,Clinical Outcome Assessments,Treadmill Test
TOAST_CLASSIFICATION,TOASTCL,TOAST Classification,TOAST Classification,"Ischemic stroke classification according to the Trial of Org 10172 in Acute Stroke Treatment (TOAST) classification (Table 1) The classification is based on clinical features and on data collected by test results such as brain imaging (CT/CTA/MRI/MRA), cardiac imaging (transthoracal echocardiography, transoesophageal echocardiography, 24-hour Holter monitoring, cardiac CT), duplex ultrasound scanning of extracranial arteries, arteriography, and laboratory assessments for a prothrombotic state.",CATEGORIC FINDINGS,,Event Adjudication,Cerebrovascular Event
TOTAL_PROTEIN_SERUM,PROTS,Protein,"Total Protein, g/dL","CDISC submission value: PROT
CDISC code: C64858
CDISC synonym: Protein
CDISC: A measurement of a group of complex organic macromolecules composed of one or more alpha-L-amino acid chains in a biological specimen.",NUMERIC FINDINGS,,Laboratory Assessments,Biochemistry
TYPE OF HEART FAILURE,TYHHEAFA,Type of Heart Failure,Type of Heart Failure,Sponsor defined: Used for Event Adjudication,CATEGORIC FINDINGS,,Event Adjudication,Heart Failure
TYPE OF MYOCARDIAL INFARCTION,TYMYOINF,Type of Myocardial Infarction,Type of Myocardial Infarction,Sponsor defined: Used for Event Adjudication,CATEGORIC FINDINGS,,Event Adjudication,Acute Coronary Syndrome
TYPE OF STROKE,TYSTROKE,Type of Stroke,Type of Stroke,Sponsor defined: Used for Event Adjudication,CATEGORIC FINDINGS,,Event Adjudication,Cerebrovascular Event
T_LEUCOCYTES_C_BLOOD,WBCB,Leukocytes,Leukocytes,"CDISC code: C51948
CDISC submission value: WBC
CDISC synonym(s): Leukocytes; White Blood Cells
CDISC Description: A measurement of the leukocytes in a biological specimen.
NCI preferred term: Leukocyte Count",NUMERIC FINDINGS,,Laboratory Assessments,Haematology
UNCONSCIOUS_COMA,UNCOCOMA,Unconscious/Coma,Unconscious/Coma,Was the subject unconscious/in coma,CATEGORIC FINDINGS,,Event Adjudication,Hypoglycaemic Episode
UNDETERMINED_ETIOLOGY_REASON,UNDETIRE,Undetermined Etiology Reason,Undetermined Etiology Reason,"If TOAST classification is undetermined cause, Reason for undetermined etiology",CATEGORIC FINDINGS,,Event Adjudication,Cerebrovascular Event
UNDETERM_DEATH_SOURCE_INFO,UNDESOUR,Details in Source Data,Details in Source Data,Details in source data when outcome is undetermined cause of death,CATEGORIC FINDINGS,,Event Adjudication,Death
URINE_CULTURE,URNCULRU,Urine Culture,Urine Culture,"A urine culture is used to diagnose a urinary tract infection (UTI) and to identify the bacteria or yeast.

For Lab codes in AE Requiring Additional Data, there should be no SCATS",TEXTUAL FINDINGS,,AE Requiring Additional Data,Laboratory Assessment
URINE_MICROSCOPY,URNMICOU,Urine Microscopy,Urine Microscopy,This test looks at a sample of  urine under a microscope.,TEXTUAL FINDINGS,,AE Requiring Additional Data,Laboratory Assessment
URINE_SAMPLES_COLLECTED,URINECLU,Have all urine samples been taken,Have All Urine Samples Been Taken,"<CodeLists>
<CodeList Value=""LBTEST"" CodeSubmValue=""Have all samples been taken"" SpecimenType=""URINE""></CodeList>
<CodeList Value=""LBTESTCD"" CodeSubmValue=""LBALL""></CodeList>
</CodeLists>
Have all urine samples been taken?",CATEGORIC FINDINGS,,Laboratory Assessments,Urinalysis
URINE_SAMPLES_COLLECTED,URINECLU,Have all urine samples been taken,Have All Urine Samples Been Taken,"<CodeLists>
<CodeList Value=""LBTEST"" CodeSubmValue=""Have all samples been taken"" SpecimenType=""URINE""></CodeList>
<CodeList Value=""LBTESTCD"" CodeSubmValue=""LBALL""></CodeList>
</CodeLists>
Have all urine samples been taken?",CATEGORIC FINDINGS,,Laboratory Assessments,24 Hour Urine Collection
URINE_SAMPLES_COLLECTED,URINECLU,Have all urine samples been taken,Have All Urine Samples Been Taken,"<CodeLists>
<CodeList Value=""LBTEST"" CodeSubmValue=""Have all samples been taken"" SpecimenType=""URINE""></CodeList>
<CodeList Value=""LBTESTCD"" CodeSubmValue=""LBALL""></CodeList>
</CodeLists>
Have all urine samples been taken?",CATEGORIC FINDINGS,,Laboratory Assessments,Collection of Samples
UROBILINOGEN_URINE,UROBILU2,Urobilinogen,Urobilinogen,"CDISC:A measurement of the urobilinogen in a biological specimen.
CDISC synonym: Urobilinogen
CDISC preferred term: UROBIL
CDISC code: C64816",CATEGORIC FINDINGS,,Laboratory Assessments,Urinalysis
UROBIL_UR,UROBILU,Urobilinogen,Urobilinogen Urine,"Sponsordefined: The investigators evaluation of a  measurement of the urobilinogen in urine.

CDISC Code: C64816
CDISC Submission Value: UROBIL
CDISC Synonym(s): Urobilinogen
CDISC Definition: A measurement of the urobilinogen in a biological specimen.
NCI Preferred Term: Urobilinogen Measurement",CATEGORIC FINDINGS,,Laboratory Assessments,Urine Dipstick
UROBIL_UR,UROBILU,Urobilinogen,Urobilinogen Urine,"Sponsordefined: The investigators evaluation of a  measurement of the urobilinogen in urine.

CDISC Code: C64816
CDISC Submission Value: UROBIL
CDISC Synonym(s): Urobilinogen
CDISC Definition: A measurement of the urobilinogen in a biological specimen.
NCI Preferred Term: Urobilinogen Measurement",CATEGORIC FINDINGS,,Laboratory Assessments,Urinalysis
UROBIL_UR,UROBILU,Urobilinogen,Urobilinogen Urine,"Sponsordefined: The investigators evaluation of a  measurement of the urobilinogen in urine.

CDISC Code: C64816
CDISC Submission Value: UROBIL
CDISC Synonym(s): Urobilinogen
CDISC Definition: A measurement of the urobilinogen in a biological specimen.
NCI Preferred Term: Urobilinogen Measurement",CATEGORIC FINDINGS,,Laboratory Assessments,Urinalysis - Urine Dipstick
WAIST_CIRCUMFERENCE,WSTCIR,Waist Circumference,Waist Circumference,"CDISC code: C100948
CDISC submission value: WSTCIR
CDISC synonym(s): Waist Circumference
CDISC Description: The distance around an individual's midsection or waist.
NCI preferred term: Waist Circumference",NUMERIC FINDINGS,,Body Measurements,Body Measurements
WBC,WBC,Leukocytes,White Blood Cells,"A measurement of the leukocytes in a biological specimen.
NCI preferred term: Leukocyte Count",NUMERIC FINDINGS,,AE Requiring Additional Data,Laboratory Assessment
WBC URINE,WBCU4,Leukocytes,"Leukocytes in Urine, AE Requiring Additional Data","CDISC Code: C65047

A measurement of the leukocytes in a biological specimen.

For Lab codes in AE Requiring Additional Data, there should be no SCATS",TEXTUAL FINDINGS,,AE Requiring Additional Data,Laboratory Assessment
WBC_UR,WBCU2,Leukocytes,"Leukocytes in Urine, Urinalysis","Sponsordefined: The investigators evaluation of A measurement of the leukocytes in urine

CDISC Code: C51948
CDISC Submission Value: WBC
CDISC Synonym(s): Leukocytes; White Blood Cells
CDISC Definition: A measurement of the leukocytes in a biological specimen.
NCI Preferred Term: Leukocyte Count",CATEGORIC FINDINGS,,Laboratory Assessments,Urine Dipstick
WBC_UR,WBCU2,Leukocytes,"Leukocytes in Urine, Urinalysis","Sponsordefined: The investigators evaluation of A measurement of the leukocytes in urine

CDISC Code: C51948
CDISC Submission Value: WBC
CDISC Synonym(s): Leukocytes; White Blood Cells
CDISC Definition: A measurement of the leukocytes in a biological specimen.
NCI Preferred Term: Leukocyte Count",CATEGORIC FINDINGS,,Laboratory Assessments,Urinalysis
WBC_UR,WBCU2,Leukocytes,"Leukocytes in Urine, Urinalysis","Sponsordefined: The investigators evaluation of A measurement of the leukocytes in urine

CDISC Code: C51948
CDISC Submission Value: WBC
CDISC Synonym(s): Leukocytes; White Blood Cells
CDISC Definition: A measurement of the leukocytes in a biological specimen.
NCI Preferred Term: Leukocyte Count",CATEGORIC FINDINGS,,Laboratory Assessments,Urinalysis - Urine Dipstick
VersioningCheckActivityTopic,AKICONDI,VersioningCheckActivity,TestInstance,Test,CATEGORIC FINDINGS,,AE Requiring Additional Data,Acute Kidney Injury
VersioningCheckInstanceTopic,AKICONDI,Acute Kidney Injury Conditions,VersioningCheckInstance,Test,CATEGORIC FINDINGS,,AE Requiring Additional Data,Acute Kidney Injury
VersioningCheckGroupTopic,AKICONDI,Activity for group check,Instance for group check,Test,CATEGORIC FINDINGS,,VersioningCheckGroup,Testsubgroup
VersioningCheckSubgroupTopic,AKICONDI,Activity for subgroup check,Instance for subgroup check,Test,CATEGORIC FINDINGS,,AE Requiring Additional Data,VersioningCheckSubGroup
DisplayCheckTopic,AKICONDI,DisplayActivity,DisplayInstance,Test,CATEGORIC FINDINGS,,DisplayGroup,DisplaySubGroup
