item_oid,activity_instance_name,activity_item_class_name,order,primary,preset_response_value,value_condition,value_dependent_map
ImportedInstance_Item_111,Event Confirmation,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_112,Fasting Plasma Glucose,numeric_finding_original_result,1,No,,,
ImportedInstance_Item_113,Fasting Plasma Glucose,specimen,2,No,,,
ImportedInstance_Item_114,Fasting Serum Glucose,numeric_finding_original_result,1,No,,,
ImportedInstance_Item_115,Fasting Serum Glucose,specimen,2,No,,,
ImportedInstance_Item_116,Insulin Serum-Fasting,numeric_finding_original_result,1,No,,,
ImportedInstance_Item_117,Insulin Serum-Fasting,specimen,2,No,,,
ImportedInstance_Item_118,Gamma Glutamyl Transferase,numeric_finding_original_result,1,No,,,
ImportedInstance_Item_119,GGT,numeric_finding_original_result,1,No,,,
ImportedInstance_Item_120,GGT,specimen,2,No,,,
ImportedInstance_Item_121,Plasma Glucagon,numeric_finding_original_result,1,No,,,
ImportedInstance_Item_122,Plasma Glucagon,specimen,2,No,,,
ImportedInstance_Item_123,Serum Glucagon,numeric_finding_original_result,1,No,,,
ImportedInstance_Item_124,Serum Glucagon,specimen,2,No,,,
ImportedInstance_Item_125,Glucose,numeric_finding_original_result,1,No,,,
ImportedInstance_Item_126,Blood Glucose,numeric_finding_original_result,1,No,,,
ImportedInstance_Item_127,Blood Glucose,specimen,2,No,,,
ImportedInstance_Item_128,Glucose Urine,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_129,Glucose Urine,specimen,2,No,,,
ImportedInstance_Item_130,"Glucose, Plasma, Glucose Metabolism",numeric_finding_original_result,1,No,,,
ImportedInstance_Item_131,"Glucose, Plasma, Glucose Metabolism",specimen,2,No,,,
ImportedInstance_Item_132,"Glucose, Serum",numeric_finding_original_result,1,No,,,
ImportedInstance_Item_133,"Glucose, Serum",specimen,2,No,,,
ImportedInstance_Item_134,Glucose Dipstick,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_135,Glucose Dipstick,specimen,2,No,,,
ImportedInstance_Item_136,HbA1c,numeric_finding_original_result,1,No,,,
ImportedInstance_Item_137,HbA1c,specimen,2,No,,,
ImportedInstance_Item_138,Heart Failure Classification,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_139,Height,numeric_finding_original_result,1,No,,,
ImportedInstance_Item_140,Hip Circumference,numeric_finding_original_result,1,No,,,
ImportedInstance_Item_141,Did the Subject Feel Better After the Treatment,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_142,International Normalized Ratio,numeric_finding_original_result,1,No,,,
ImportedInstance_Item_143,INR,numeric_finding_original_result,1,No,,,
ImportedInstance_Item_144,INR,specimen,2,No,,,
ImportedInstance_Item_145,Human Insulin,numeric_finding_original_result,1,No,,,
ImportedInstance_Item_146,Human Insulin,specimen,2,No,,,
ImportedInstance_Item_147,Insulin Serum,numeric_finding_original_result,1,No,,,
ImportedInstance_Item_148,Insulin Serum,specimen,2,No,,,
ImportedInstance_Item_149,"Lipase, AE Requiring Additional Data",numeric_finding_original_result,1,No,,,
ImportedInstance_Item_150,"Lipase, Biochemistry",numeric_finding_original_result,1,No,,,
ImportedInstance_Item_151,"Lipase, Biochemistry",specimen,2,No,,,
ImportedInstance_Item_152,Glomerular Filtration Rate,numeric_finding_original_result,1,No,,,
ImportedInstance_Item_153,Method of Coronary Revascularisation,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_154,"Nitrite, AE Requiring Additional Data",textual_finding_original_result,1,No,,,
ImportedInstance_Item_155,Urine Nitrite,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_156,Urine Nitrite,specimen,2,No,,,
ImportedInstance_Item_157,"Nitrite, Urinalysis",categoric_finding_original_result,1,No,,,
ImportedInstance_Item_158,"Nitrite, Urinalysis",specimen,2,No,,,
ImportedInstance_Item_159,Other Adjudicated Event Type,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_160,Oxygen Saturation,numeric_finding_original_result,1,No,,,
ImportedInstance_Item_161,Pain Rating - How Would You Rate the Pain at Its Worst in Your Target Knee,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_162,Significant Upper Abdominal Pain,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_163,Any Acute Complications,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_164,Other Acute Pancreatitis Symptom,categoric_finding_original_result,1,No,,,
